Horodateur,Have you ever used python?  ,Select what you know in python:,Which library have you used before?,"Do you have your own personnal computer for pratice, assignment and exam?"
2022/09/05 3:17:48 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 3:18:22 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 3:18:30 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 3:18:55 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Install a library,Numpy;Pandas;Matplotlib;Seaborn;TensorFlow,Yes
2022/09/05 3:20:12 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 3:24:00 PM UTC+6,Yes,Create a python script;Run a python script;Create and use a Jupyter Notebook;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 4:06:43 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script,Numpy;Pandas;SciPy;Matplotlib,Yes
2022/09/05 5:08:40 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library,Numpy,Yes
2022/09/05 5:08:41 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy,Yes
2022/09/05 5:09:06 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/05 5:09:06 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:09:06 PM UTC+6,Yes,Create and use variables;Use loops;Create a use functions,I never used any libraries,Yes
2022/09/05 5:09:06 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create a use functions;Open and save files,I never used any libraries,Yes
2022/09/05 5:09:07 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:09:13 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:09:18 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:09:24 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,Numpy;Pandas;Matplotlib,Yes
2022/09/05 5:09:38 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Use loops,I never used any libraries,Yes
2022/09/05 5:09:52 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Open and save files;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:09:56 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:09:57 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script,Numpy,Yes
2022/09/05 5:10:01 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops,I never used any libraries,Yes
2022/09/05 5:10:07 PM UTC+6,Yes,Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files,Numpy,Yes
2022/09/05 5:10:09 PM UTC+6,Yes,Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library,Numpy,Yes
2022/09/05 5:10:10 PM UTC+6,Yes,Create a python script;Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script;Read the documentation a of library,I never used any libraries,Yes
2022/09/05 5:10:17 PM UTC+6,Yes,Run a python script;Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions,I never used any libraries,Yes
2022/09/05 5:10:18 PM UTC+6,Yes,Run a python script;Create and use variables;Create and use list;Use loops;Create a use functions;Open and save files;Install a library;Import a library in a script,I never used any libraries,Yes
2022/09/05 5:10:22 PM UTC+6,Yes,Create a python script;Run a python script;Use loops;Create and use dictionaries;Create a use functions;Open and save files,Numpy,Yes
2022/09/05 5:10:23 PM UTC+6,No,I don't know how to use python,I never used any libraries,Yes
2022/09/05 5:10:33 PM UTC+6,"No, but I know another programming language",Create and use variables;Create and use list;Use loops;Create and use dictionaries;Create a use functions;Open and save files;Install a library;Import a library in a script,I never used any libraries,Yes
